StockCode,Description,UnitPrice,Nouns,Category,PriceSegment
16207B,PINK HEART RED HANDBAG,2.95,"['pink', 'heart', 'handbag']",Home Decor,Premium
16216,LETTER SHAPE PENCIL SHARPENER,0.06,"['letter', 'pencil', 'sharpener']",Stationery,Budget
16218,CARTOON  PENCIL SHARPENERS,0.06,"['cartoon', 'pencil', 'sharpener']",Stationery,Budget
16219,HOUSE SHAPE PENCIL SHARPENER,0.06,"['house', 'pencil', 'sharpener']",Stationery,Budget
16225,RATTLE SNAKE EGGS,1.25,"['rattle', 'snake', 'eggs']",Other,Standard
16235,RECYCLED PENCIL WITH RABBIT ERASER,0.21,"['pencil', 'rabbit', 'eraser']",Stationery,Budget
16236,KITTY PENCIL ERASERS,0.21,"['kitty', 'pencil', 'eraser']",Stationery,Budget
16237,SLEEPING CAT ERASERS,0.21,"['cat', 'eraser']",Stationery,Budget
16238,PARTY TIME PENCIL ERASERS,0.21,"['party', 'time', 'pencil', 'eraser']",Stationery,Budget
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,1.225,"['maxwell', 'tone', 'blue', 'page', 'photo']",Other,Standard
16248B,BLUE HOLE PUNCH,1.25,"['blue', 'hole', 'punch']",Other,Standard
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,0.85,"['acrylic', 'tape', 'dispenser']",Stationery,Budget
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,0.42,"['swirly', 'circular', 'rubber', 'bag']",Toys,Budget
16259,PIECE OF CAMO STATIONERY SET,0.08,"['piece', 'camo', 'stationery', 'set']",Other,Budget
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,0.29,"['heavens', 'scent', 'fragrance', 'oils', 'asstd']",Other,Budget
17003,BROCADE RING PURSE,0.29,"['brocade', 'ring', 'purse']",Jewellery,Budget
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,2.1,"['pot', 'pouri', 'cushion', 'blue', 'colours']",Garden,Premium
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,0.65,"['origami', 'sandlewood']",Garden,Budget
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,0.85,"['origami', 'vanilla', 'incense', 'candle', 'set']",Home Decor,Budget
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,0.85,"['origami', 'jasmine', 'incense', 'candle', 'set']",Home Decor,Budget
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,0.85,"['origami', 'lavender', 'incense', 'candl', 'set']",Other,Budget
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,0.85,"['origami', 'rose', 'incense', 'candle', 'set']",Home Decor,Budget
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,2.55,"['origami', 'opium', 'incense', 'candle', 'set']",Home Decor,Premium
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,0.85,"['origami', 'sandlewood', 'incense', 'cand', 'set']",Other,Budget
17013D,ORIGAMI ROSE INCENSE IN TUBE,0.42,"['origami', 'rose', 'incense', 'tube']",Other,Budget
17014A,ORIGAMI VANILLA INCENSE CONES,0.42,"['origami', 'vanilla', 'incense', 'cones']",Other,Budget
17021,NAMASTE SWAGAT INCENSE,0.3,"['namaste', 'swagat', 'incense']",Other,Budget
17028J,INCENSE BAZAAR PEACH,0.42,"['incense', 'bazaar', 'peach']",Other,Budget
17038,PORCELAIN BUDAH INCENSE HOLDER,0.1,"['porcelain', 'budah', 'incense', 'holder']",Home Decor,Budget
17084A,TRANQUILITY MASALA INCENSE,0.21,"['tranquility', 'masala', 'incense']",Other,Budget
17084J,LOVE POTION MASALA INCENSE,0.21,"['love', 'potion', 'masala', 'incense']",Garden,Budget
17084N,FAIRY DREAMS INCENSE,0.21,"['fairy', 'dreams', 'incense']",Other,Budget
17084P,DRAGONS BLOOD INCENSE,0.21,"['dragons', 'blood', 'incense']",Other,Budget
17084R,ASSORTED INCENSE PACK,0.21,"['assorted', 'incense', 'pack']",Other,Budget
17090A,LAVENDER INCENSE 40 CONES IN TIN,1.25,"['incense', 'cones', 'tin']",Kitchen,Standard
17090D,VANILLA INCENSE 40 CONES IN TIN,1.25,"['vanilla', 'incense', 'cones', 'tin']",Kitchen,Standard
17091A,LAVENDER INCENSE IN TIN,0.38,"['incense', 'tin']",Kitchen,Budget
17091J,VANILLA INCENSE IN TIN,0.38,"['vanilla', 'incense', 'tin']",Kitchen,Budget
17096,ASSORTED LAQUERED INCENSE HOLDERS,0.21,"['assorted', 'laquered', 'incense', 'holder']",Home Decor,Budget
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",2.55,"['flower', 'summer', 'liner']",Garden,Premium
17109D,FLOWER FAIRY INCENSE BOUQUET,0.38,"['flower', 'fairy', 'incense', 'bouquet']",Garden,Budget
17129F,BLUE GLASS GEMS IN BAG,0.85,"['glass', 'gems', 'bag']",Kitchen,Budget
17136A,BLUE STONES ON WIRE FOR CANDLE,0.08,"['blue', 'stones', 'wire', 'candle']",Home Decor,Budget
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,0.42,"['ass', 'col', 'sand', 'gecko']",Other,Budget
17165D,ASS COL LARGE SAND FROG P'WEIGHT,1.05,"['ass', 'col', 'sand', 'frog']",Other,Standard
17174,ASSTD RASTA KEY-CHAINS,0.42,"['asstd', 'rasta', 'key', 'chain']",Other,Budget
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,3.75,"['rose', 'flower']",Home Decor,Premium
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,0.18,"['essential', 'balm', 'g', 'tin', 'envelope']",Kitchen,Budget
18094C,WHITE AND BLUE CERAMIC OIL BURNER,1.25,"['blue', 'ceramic', 'oil', 'burner']",Other,Standard
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,2.55,"['porcelain', 't', 'light', 'holder']",Home Decor,Premium
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,2.55,"['white', 'tall', 'porcelain', 't', 'light', 'holder']",Home Decor,Premium
18098C,PORCELAIN BUTTERFLY OIL BURNER,2.95,"['porcelain', 'butterfly', 'oil', 'burner']",Other,Premium
20615,BLUE POLKADOT PASSPORT COVER,0.75,"['passport', 'cover']",Other,Budget
20616,CHERRY BLOSSOM PASSPORT COVER,0.75,"['cherry', 'passport', 'cover']",Other,Budget
20617,FIRST CLASS PASSPORT COVER,2.1,"['class', 'passport', 'cover']",Other,Premium
20618,QUEEN OF THE SKIES PASSPORT COVER,2.1,"['sky', 'passport', 'cover']",Other,Premium
20619,TROPICAL PASSPORT COVER,2.1,"['tropical', 'passport', 'cover']",Other,Premium
20622,VIPPASSPORT COVER,2.1,"['vippassport', 'cover']",Other,Premium
20652,BLUE POLKADOT LUGGAGE TAG,1.25,['tag'],Other,Standard
20653,CHERRY BLOSSOM LUGGAGE TAG,1.25,"['cherry', 'luggage', 'tag']",Other,Standard
20654,FIRST CLASS LUGGAGE TAG,1.25,"['class', 'luggage', 'tag']",Other,Standard
20655,QUEEN OF SKIES LUGGAGE TAG,1.25,"['skies', 'luggage', 'tag']",Other,Standard
20657,TROPICAL LUGGAGE TAG,1.25,"['tropical', 'luggage', 'tag']",Other,Standard
20658,RED RETROSPOT LUGGAGE TAG,1.25,"['red', 'retrospot', 'luggage', 'tag']",Garden,Standard
20659,ECONOMY LUGGAGE TAG,1.25,"['economy', 'luggage', 'tag']",Other,Standard
20661,BLUE POLKADOT PURSE,5.79,[],Bags,Luxury
20662,FIRST CLASS HOLIDAY PURSE,2.95,"['class', 'holiday', 'purse']",Bags,Premium
20663,QUEEN OF THE SKIES HOLIDAY PURSE,2.95,"['skies', 'holiday', 'purse']",Bags,Premium
20664,TROPICAL HOLIDAY PURSE,2.95,"['tropical', 'holiday', 'purse']",Bags,Premium
20665,RED RETROSPOT PURSE,2.95,"['red', 'retrospot', 'purse']",Garden,Premium
20666,ECONOMY HOLIDAY PURSE,2.95,"['economy', 'holiday']",Bags,Premium
20667,CHERRY BLOSSOM PURSE,2.95,['cherry'],Bags,Premium
20668,DISCO BALL CHRISTMAS DECORATION,0.12,"['disco', 'ball', 'christmas', 'decoration']",Home Decor,Budget
20669,RED HEART LUGGAGE TAG,1.25,"['heart', 'luggage', 'tag']",Home Decor,Standard
20670,VIP HOLIDAY PURSE,2.95,"['vip', 'holiday', 'purse']",Bags,Premium
20671,BLUE TEATIME PRINT BOWL,1.25,"['blue', 'teatime', 'print', 'bowl']",Kitchen,Standard
20674,GREEN POLKADOT BOWL,1.25,['bowl'],Kitchen,Standard
20675,BLUE POLKADOT BOWL,1.25,['bowl'],Kitchen,Standard
20676,RED RETROSPOT BOWL,1.25,"['red', 'retrospot', 'bowl']",Kitchen,Standard
20677,PINK POLKADOT BOWL,1.25,"['pink', 'bowl']",Kitchen,Standard
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.65,"['black', 'diamante', 'hairslide']",Other,Standard
20679,EDWARDIAN PARASOL RED,5.95,"['edwardian', 'parasol', 'red']",Other,Luxury
20681,PINK POLKADOT CHILDRENS UMBRELLA,3.25,"['pink', 'umbrella']",Other,Premium
20682,RED RETROSPOT CHILDRENS UMBRELLA,3.25,"['red', 'retrospot', 'childrens', 'umbrella']",Garden,Premium
20684,STRAWBERRY DREAM CHILDS UMBRELLA,3.25,"['dream', 'childs', 'umbrella']",Other,Premium
20685,DOORMAT RED RETROSPOT,7.95,"['doormat', 'red', 'retrospot']",Garden,Luxury
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,3.25,"['mixture', 'child', 'umbrella']",Toys,Premium
20694,FLORAL PINK MONSTER,3.75,"['floral', 'pink', 'monster']",Other,Premium
20695,FLORAL BLUE MONSTER,4.25,"['floral', 'blue', 'monster']",Other,Luxury
20696,FLORAL SOFT CAR TOY,3.75,"['floral', 'car', 'toy']",Toys,Premium
20697,LITTLE GREEN MONSTER SOFT TOY,2.55,"['little', 'monster', 'toy']",Toys,Premium
20698,LITTLE PINK MONSTER SOFT TOY,2.55,"['little', 'pink', 'monster', 'toy']",Toys,Premium
20699,MOUSEY LONG LEGS SOFT TOY,2.55,"['mousey', 'leg', 'toy']",Toys,Premium
20700,GREEN CAT FLORAL CUSHION COVER,3.75,"['cat', 'floral', 'cushion', 'cover']",Other,Premium
20701,PINK CAT FLORAL CUSHION COVER,3.75,"['pink', 'cat', 'floral', 'cushion', 'cover']",Other,Premium
20702,PINK PADDED MOBILE,4.25,"['pink', 'padded', 'mobile']",Other,Luxury
20703,BLUE PADDED SOFT MOBILE,4.25,"['blue', 'mobile']",Other,Luxury
20704,MR ROBOT SOFT TOY,6.95,"['mr', 'robot', 'toy']",Toys,Luxury
20705,MRS ROBOT SOFT TOY,6.95,"['mrs', 'robot', 'toy']",Toys,Luxury
20707,CRAZY DAISY HEART DECORATION,1.25,"['crazy', 'daisy', 'heart', 'decoration']",Home Decor,Standard
20711,JUMBO BAG TOYS,2.08,"['jumbo', 'bag', 'toys']",Toys,Premium
20712,JUMBO BAG WOODLAND ANIMALS,2.08,"['jumbo', 'bag', 'animal']",Toys,Premium
20713,JUMBO BAG OWLS,2.08,"['jumbo', 'bag', 'owls']",Bags,Premium
20716,PARTY FOOD SHOPPER BAG,1.25,"['party', 'food', 'shopper', 'bag']",Bags,Standard
20717,STRAWBERRY SHOPPER BAG,1.25,"['shopper', 'bag']",Bags,Standard
20718,RED RETROSPOT SHOPPER BAG,1.25,"['red', 'retrospot', 'shopper', 'bag']",Garden,Standard
20719,WOODLAND CHARLOTTE BAG,0.85,"['woodland', 'charlotte', 'bag']",Bags,Budget
20723,STRAWBERRY CHARLOTTE BAG,0.85,"['charlotte', 'bag']",Bags,Budget
20724,RED RETROSPOT CHARLOTTE BAG,0.85,"['red', 'retrospot', 'charlotte', 'bag']",Garden,Budget
20725,LUNCH BAG RED RETROSPOT,1.65,"['lunch', 'bag', 'red', 'retrospot']",Garden,Standard
20726,LUNCH BAG WOODLAND,1.65,"['lunch', 'bag', 'woodland']",Bags,Standard
20727,LUNCH BAG  BLACK SKULL.,1.65,"['lunch', 'bag', 'black', 'skull']",Bags,Standard
20728,LUNCH BAG CARS BLUE,1.65,"['lunch', 'bag', 'car']",Toys,Standard
20731,POSY CANDY BAG,1.25,"['posy', 'candy', 'bag']",Bags,Standard
20733,GOLD MINI TAPE MEASURE,0.85,"['gold', 'mini', 'tape', 'measure']",Stationery,Budget
20735,BLACK MINI TAPE MEASURE,0.85,"['black', 'mini', 'tape', 'measure']",Stationery,Budget
20748,KENSINGTON COFFEE SET,12.75,"['kensington', 'coffee', 'set']",Food,Luxury
20749,ASSORTED COLOUR MINI CASES,7.95,"['assorted', 'colour', 'mini', 'case']",Bags,Luxury
20750,RED RETROSPOT MINI CASES,7.95,"['red', 'retrospot', 'mini', 'case']",Garden,Luxury
20751,FUNKY WASHING UP GLOVES ASSORTED,2.1,"['funky', 'gloves']",Clothing,Premium
20752,BLUE POLKADOT WASHING UP GLOVES,2.1,['gloves'],Clothing,Premium
20754,RETROSPOT RED WASHING UP GLOVES,2.1,"['retrospot', 'red', 'washing', 'gloves']",Garden,Premium
20755,BLUE PAISLEY POCKET BOOK,0.85,"['blue', 'paisley', 'pocket', 'book']",Stationery,Budget
20756,GREEN FERN POCKET BOOK,0.85,"['fern', 'pocket', 'book']",Stationery,Budget
20757,RED DAISY POCKET BOOK,0.85,"['daisy', 'pocket', 'book']",Stationery,Budget
20758,ABSTRACT CIRCLES POCKET BOOK,0.85,"['circles', 'pocket', 'book']",Stationery,Budget
20759,CHRYSANTHEMUM POCKET BOOK,0.85,"['pocket', 'book']",Stationery,Budget
20760,GARDEN PATH POCKET BOOK,0.85,"['path', 'pocket', 'book']",Stationery,Budget
20761,BLUE PAISLEY SKETCHBOOK,3.75,"['blue', 'paisley', 'sketchbook']",Stationery,Premium
20762,GREEN FERN SKETCHBOOK,3.75,"['fern', 'sketchbook']",Stationery,Premium
20763,DAISY SKETCHBOOK,3.75,['daisy'],Stationery,Premium
20764,ABSTRACT CIRCLES SKETCHBOOK,3.75,"['abstract', 'circles', 'sketchbook']",Stationery,Premium
20765,CHRYSANTHEMUM SKETCHBOOK,3.75,['sketchbook'],Stationery,Premium
20766,GARDEN PATH SKETCHBOOK,3.75,"['garden', 'path', 'sketchbook']",Stationery,Premium
20767,BLUE PAISLEY JOURNAL,2.55,"['blue', 'paisley', 'journal']",Other,Premium
20768,GREEN FERN JOURNAL,2.55,"['fern', 'journal']",Other,Premium
20769,DAISY JOURNAL,2.55,"['daisy', 'journal']",Other,Premium
20770,ABSTRACT CIRCLE JOURNAL,2.55,"['abstract', 'circle', 'journal']",Other,Premium
20771,CHRYSANTHEMUM  JOURNAL,2.55,['journal'],Other,Premium
20772,GARDEN PATH JOURNAL,2.55,"['garden', 'path', 'journal']",Garden,Premium
20773,BLUE PAISLEY NOTEBOOK,1.65,"['blue', 'paisley', 'notebook']",Stationery,Standard
20774,GREEN FERN NOTEBOOK,1.65,"['fern', 'notebook']",Stationery,Standard
20775,DAISY NOTEBOOK,1.65,"['daisy', 'notebook']",Stationery,Standard
20777,CHRYSANTHEMUM NOTEBOOK,1.65,['notebook'],Stationery,Standard
20778,GARDEN PATH NOTEBOOK,1.65,"['path', 'notebook']",Stationery,Standard
20780,BLACK EAR MUFF HEADPHONES,5.49,"['black', 'ear', 'muff', 'headphones']",Electronics,Luxury
20781,GOLD EAR MUFF HEADPHONES,5.49,"['gold', 'ear', 'muff', 'headphones']",Electronics,Luxury
20782,CAMOUFLAGE EAR MUFF HEADPHONES,5.49,"['camouflage', 'ear', 'muff', 'headphones']",Electronics,Luxury
20785,FUSCHIA RETRO BAR STOOL,39.95,"['fuschia', 'bar', 'stool']",Other,Luxury
20793,BLUE TILED TRAY,6.75,"['blue', 'tray']",Kitchen,Luxury
20794,BLUE  TILE HOOK,2.55,"['blue', 'tile', 'hook']",Other,Premium
20795,LARGE BLUE PROVENCAL CERAMIC BALL,2.1,"['blue', 'provencal', 'ceramic', 'ball']",Toys,Premium
20796,SMALL BLUE PROVENCAL CERAMIC BALL,1.65,"['small', 'blue', 'provencal', 'ceramic', 'ball']",Toys,Standard
20798,CLEAR MILKSHAKE GLASS,2.1,"['clear', 'glass']",Kitchen,Premium
20801,LARGE PINK GLASS SUNDAE DISH,0.79,"['pink', 'glass', 'sundae', 'dish']",Kitchen,Budget
20802,SMALL GLASS SUNDAE DISH CLEAR,1.65,"['glass', 'sundae', 'dish', 'clear']",Kitchen,Standard
20803,SMALL PINK GLASS SUNDAE DISH,0.39,"['small', 'pink', 'glass', 'sundae', 'dish']",Kitchen,Budget
20816,GOLD FLOWER CUSHION COVER,1.95,"['gold', 'flower', 'cushion', 'cover']",Garden,Standard
20818,GOLD TEDDY BEAR,2.5,"['gold', 'teddy', 'bear']",Toys,Premium
20819,SILVER TEDDY BEAR,3.75,"['silver', 'teddy', 'bear']",Toys,Premium
20820,SILVER LOOKING MIRROR,4.95,['mirror'],Home Decor,Luxury
20821,GOLDIE LOOKING MIRROR,4.95,['mirror'],Home Decor,Luxury
20823,GOLD WINE GOBLET,0.79,"['gold', 'wine', 'goblet']",Other,Budget
20826,SILVER APERITIF GLASS,0.39,"['silver', 'aperitif', 'glass']",Kitchen,Budget
20827,GOLD APERITIF GLASS,0.39,"['gold', 'aperitif', 'glass']",Kitchen,Budget
20828,GLITTER BUTTERFLY CLIPS,2.55,"['glitter', 'butterfly', 'clip']",Stationery,Premium
20829,GLITTER HANGING BUTTERFLY STRING,2.1,"['butterfly', 'string']",Jewellery,Premium
20830,SILVER PHOTO FRAME,2.1,"['silver', 'photo', 'frame']",Home Decor,Premium
20831,GOLD PHOTO FRAME,2.1,"['gold', 'photo', 'frame']",Home Decor,Premium
20832,RED FLOCK LOVE HEART PHOTO FRAME,0.39,"['love', 'heart', 'photo', 'frame']",Home Decor,Budget
20835,FRENCH LATTICE CUSHION COVER,0.83,"['french', 'lattice', 'cushion', 'cover']",Other,Budget
20836,FRENCH PAISLEY CUSHION COVER,0.83,"['french', 'paisley', 'cushion', 'cover']",Other,Budget
20837,FRENCH FLORAL CUSHION COVER,0.83,"['french', 'floral', 'cushion', 'cover']",Other,Budget
20838,FRENCH LATTICE CUSHION COVER,0.85,"['french', 'lattice', 'cushion', 'cover']",Other,Budget
20839,FRENCH PAISLEY CUSHION COVER,0.85,"['french', 'paisley', 'cushion', 'cover']",Other,Budget
20840,FRENCH FLORAL CUSHION COVER,0.85,"['french', 'floral', 'cushion', 'cover']",Other,Budget
20845,ZINC HEART LATTICE 2 WALL PLANTER,6.35,"['zinc', 'heart', 'lattice', 'wall', 'planter']",Home Decor,Luxury
20846,ZINC HEART LATTICE T-LIGHT HOLDER,1.25,"['zinc', 'heart', 'lattice', 't', 'light', 'holder']",Home Decor,Standard
20847,ZINC HEART LATTICE CHARGER LARGE,3.75,"['zinc', 'heart', 'charger', 'large']",Home Decor,Premium
20848,ZINC HEART LATTICE CHARGER SMALL,2.95,"['zinc', 'heart', 'charger']",Home Decor,Premium
20851,ZINC HEART LATTICE TRAY OVAL,5.95,"['zinc', 'heart', 'tray', 'oval']",Home Decor,Luxury
20854,BLUE PATCH PURSE PINK HEART,1.65,"['blue', 'pink', 'heart']",Home Decor,Standard
20856,DENIM PATCH PURSE PINK BUTTERFLY,1.65,"['denim', 'patch', 'purse', 'pink', 'butterfly']",Bags,Standard
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,1.65,"['blue', 'rose', 'patch', 'purse', 'pink', 'butterfl']",Bags,Standard
20861,GOLD COSMETIC BAG PINK STAR,2.1,"['gold', 'cosmetic', 'bag', 'pink', 'star']",Bags,Premium
20866,BLUE ROSE FABRIC MIRROR,1.25,"['blue', 'rose', 'fabric', 'mirror']",Home Decor,Standard
20867,PINK ROSE FABRIC MIRROR,1.25,"['pink', 'rose', 'fabric', 'mirror']",Home Decor,Standard
20868,SILVER FABRIC MIRROR,0.39,"['silver', 'fabric', 'mirror']",Home Decor,Budget
20869,GOLD FABRIC MIRROR,0.39,"['gold', 'fabric', 'mirror']",Home Decor,Budget
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED,1.25,"['christmas', 't', 'lights']",Home Decor,Standard
20886,BOX OF 9 PEBBLE CANDLES,1.95,"['box', 'pebble', 'candles']",Home Decor,Standard
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,12.75,"['tall', 'glass', 'candle', 'holder', 'pink']",Home Decor,Luxury
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2.55,"['hanging', 'bauble', 't', 'light', 'holder']",Home Decor,Premium
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,2.95,"['hanging', 'bauble', 't', 'light', 'holder']",Home Decor,Premium
20897,VINTAGE NOTEBOOK PARIS DAYS,2.95,"['vintage', 'notebook', 'paris', 'day']",Stationery,Premium
20898,VINTAGE NOTEBOOK TRAVELOGUE,2.95,"['vintage', 'notebook', 'travelogue']",Stationery,Premium
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,6.35,"['vintage', 'keepsake', 'box', 'pink', 'flower']",Garden,Luxury
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,6.35,"['vintage', 'keepsake', 'box', 'paris', 'day']",Other,Luxury
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,6.35,"['vintage', 'keepsake', 'box', 'travelogue']",Other,Luxury
20906,VINTAGE NOTEBOOK BEAUTY GIRL,2.95,"['vintage', 'notebook', 'girl']",Stationery,Premium
20910,VINTAGE PHOTO ALBUM PARIS DAYS,6.35,"['vintage', 'photo', 'album', 'paris', 'day']",Other,Luxury
